date,temp_max_c,temp_mean_c,humidity_mean_pct,wind_mean_ms,wind_max_ms,precip_sum_mm,sunshine_sum_h,global_radiation_sum_j_cm2,O3_max,O3_mean,O3_score,NO2_max,NO2_mean,NO2_score,PM10_max,PM10_mean,PM10_score,PM2.5_max,PM2.5_mean,PM2.5_score,SO2_max,SO2_mean,SO2_score,dominant_pollutant,dominant_score,month,year,hot_day
2024-01-16,1.7,-0.975,76.45833333333333,4.083333333333333,8.7,0.0,185.0,0.0,46.0,25.333333333333332,1.4583333333333333,64.8,40.06666666666667,3.12,61.1,21.108333333333334,3.1972222222222224,16.1,10.379166666666666,2.0733333333333333,3.9,1.1416666666666668,0.39,PM10,3.1972222222222224,1,2024,False
2024-01-17,0.5,-2.7541666666666664,90.95833333333333,1.9583333333333333,3.1,12.7,0.0,0.0,9.7,3.6791666666666667,0.4041666666666666,56.7,49.82916666666667,2.89,27.3,19.895833333333332,2.011111111111111,22.2,15.5625,2.48,1.3,0.8583333333333334,0.13,NO2,2.89,1,2024,False
2024-01-18,1.5,-0.4583333333333333,88.83333333333333,3.8833333333333333,6.5,3.6,8.0,0.0,76.6,44.79583333333333,2.0638888888888887,62.1,27.09166666666667,3.0525,29.2,12.75,2.0814814814814815,23.7,10.033333333333333,2.58,0.8,0.8000000000000002,0.08000000000000002,NO2,3.0525,1,2024,False
2024-01-19,-0.3,-3.9625,89.66666666666667,2.65,3.7,0.0,304.0,0.0,27.6,13.208333333333334,1.075,67.4,53.43333333333334,3.185,33.8,23.983333333333334,2.2518518518518515,27.7,19.7375,2.8466666666666667,3.6,1.3625,0.36000000000000004,NO2,3.185,1,2024,False
2024-01-20,-4.3,-5.6875,92.41666666666667,1.9166666666666667,3.0,0.0,0.0,277.0,28.7,14.520833333333334,1.0979166666666667,64.7,46.300000000000004,3.1175,36.3,27.508333333333336,2.344444444444444,33.2,23.7375,3.16,1.5,0.8291666666666667,0.15000000000000002,PM2.5,3.16,1,2024,False
2024-01-21,1.5,-3.8166666666666664,90.0,2.35,4.3,0.0,54.0,348.0,14.2,5.670833333333333,0.5916666666666666,61.7,50.93333333333334,3.0425,41.3,33.68333333333333,2.5296296296296292,35.8,29.84583333333333,3.29,4.9,1.3708333333333333,0.49000000000000005,PM2.5,3.29,1,2024,False
2024-01-22,8.9,6.158333333333334,79.66666666666667,6.829166666666667,9.0,1.3,0.0,102.0,43.1,31.09583333333333,1.3979166666666667,53.3,38.82083333333333,2.7766666666666664,27.6,11.166666666666666,2.022222222222222,23.7,7.904166666666666,2.58,8.0,2.0124999999999997,0.8,NO2,2.7766666666666664,1,2024,False
2024-01-23,8.8,6.870833333333334,78.25,7.508333333333333,9.8,2.5,125.0,327.0,64.6,47.137499999999996,1.8458333333333332,50.2,32.0875,2.6733333333333333,36.6,13.558333333333332,2.3555555555555556,11.1,7.237500000000001,1.6099999999999999,2.9,1.0083333333333335,0.29,NO2,2.6733333333333333,1,2024,False
2024-01-24,14.1,11.333333333333334,68.875,8.495833333333334,13.0,0.5,236.0,419.0,75.2,52.17916666666667,2.0444444444444443,40.5,22.537499999999998,2.35,22.3,11.941666666666668,1.738888888888889,11.0,6.354166666666667,1.6,2.8,0.9125000000000001,0.27999999999999997,NO2,2.35,1,2024,False
2024-01-25,10.3,8.299999999999999,75.25,3.716666666666667,5.7,0.30000000000000004,202.0,507.0,59.0,33.0875,1.7291666666666665,76.1,44.073913043478264,3.4025,26.6,20.808695652173913,1.9777777777777779,15.4,11.865217391304347,2.026666666666667,3.0,1.1478260869565218,0.30000000000000004,NO2,3.4025,1,2024,False
2024-01-26,11.8,8.7875,81.95833333333333,5.283333333333333,8.1,4.199999999999999,68.0,168.0,73.5,30.8625,2.0208333333333335,43.9,28.875,2.4633333333333334,17.8,12.133333333333333,1.488888888888889,13.1,8.066666666666666,1.81,9.2,2.0458333333333334,0.9199999999999999,NO2,2.4633333333333334,1,2024,False
2024-01-27,7.5,2.5833333333333335,76.875,2.254166666666667,3.7,0.0,479.0,689.0,51.9,23.075,1.5812499999999998,74.3,44.925000000000004,3.3575,23.4,16.720833333333335,1.7999999999999998,14.6,9.295833333333333,1.96,5.4,1.3541666666666667,0.54,NO2,3.3575,1,2024,False
2024-01-28,9.0,2.8166666666666664,75.125,2.5,3.2,0.0,488.0,710.0,30.8,10.508333333333335,1.1416666666666666,60.6,44.84583333333333,3.015,19.3,14.766666666666666,1.5722222222222222,13.9,10.8375,1.8900000000000001,0.8,0.8000000000000002,0.08000000000000002,NO2,3.015,1,2024,False
2024-01-29,8.4,2.0166666666666666,83.20833333333333,1.2874999999999999,4.2,0.0,397.0,695.0,10.3,3.9416666666666664,0.4291666666666667,63.4,50.7125,3.085,38.4,22.8625,2.422222222222222,28.4,15.762500000000001,2.893333333333333,3.8,1.2291666666666667,0.38,NO2,3.085,1,2024,False
2024-01-30,8.0,3.0083333333333333,87.91666666666667,1.8208333333333335,3.8,0.0,47.0,396.0,5.7,2.2333333333333334,0.2375,59.3,46.96666666666667,2.9766666666666666,39.9,29.229166666666668,2.477777777777778,26.3,21.379166666666666,2.7533333333333334,3.3,1.2750000000000001,0.33,NO2,2.9766666666666666,1,2024,False
2024-01-31,9.1,5.925,81.0,2.3916666666666666,6.1,0.0,154.0,512.0,59.4,18.066666666666666,1.7374999999999998,69.3,50.333333333333336,3.2325,29.9,18.920833333333334,2.107407407407407,22.5,11.0625,2.5,1.7,0.9291666666666667,0.17,NO2,3.2325,1,2024,False
